Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.054726825,215.164714785,2174.3
200,0.163431545,223.61625968,2289.0
300,0.51026603,5.5223714500000005,97.5
400,0.46605984500000003,5.756895500000001,102.15
500,0.7584257150000001,6.948497464999999,116.15
600,0.8304469200000001,7.6686517599999995,141.2
700,1.0271679200000001,8.33435829,150.8
800,1.34017572,8.45688942,147.75
900,1.556654725,9.261797490000001,170.85
1000,1.93205165,9.954513684999998,173.8
1100,2.3343541149999996,11.040107379999998,189.15
1200,2.590724685,12.13918423,211.05
1300,2.953982565,13.000795295,223.0
1400,3.6124774100000003,14.190647245000001,235.2
1500,4.00730203,16.165719815000003,261.8
1600,4.572333479999999,16.470863175,265.2
1700,5.185715915,17.25583028,268.3
1800,5.752498955,18.878422265,302.15
1900,6.286918075,18.907916619999998,297.4
2000,6.855956295,19.717864444999996,304.35
2100,7.4219101,20.16507083,337.25
2200,8.43007053,23.169860095000008,356.7
2300,9.518779134999997,24.833838450000005,367.45
2400,10.324526084999999,25.759200435,383.15
2500,11.237198869999999,27.408558395,405.85
2600,12.04641525,28.632769684999996,440.9
2700,13.94562825,30.591691530000002,439.25
2800,13.842211935000002,31.58700243,452.9
2900,15.842348594999999,33.00127805,483.2
3000,16.40213177,35.03966052,496.85
3100,17.922074185,38.174126695,537.35
3200,19.889522905,40.665714529999995,599.3
3300,19.71651067,40.957175770000006,576.3
3400,21.901129779999998,42.621967365,580.8
3500,23.095506665,44.846609439999995,618.1
3600,25.137790015,47.00533363500001,625.9
3700,26.310700550000004,47.73529160999999,627.35
3800,27.419226580000004,49.298235549999994,639.55
3900,28.853439975,50.916864079999996,688.55
4000,30.215481380000003,53.30004552,690.25
4100,32.307238555,54.438577534999986,701.65
4200,34.681386245000006,57.46578749500001,754.15
4300,37.25974408,61.938910410000005,785.9
4400,38.17504899000001,63.20156475,792.35
4500,39.57949053,63.29346747,827.6
4600,43.076061345,68.6130629,874.8
4700,45.45786342,73.22242475,923.95
4800,48.109952305,78.192824545,961.95
4900,48.63805328,77.153079655,963.85
5000,52.203418,80.926597095,992.85
