Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.055060560000000015,0.8934680650000001,2493.1
200,0.13498786000000002,0.53488101,2498.4
300,0.24365399,3.8145990200000006,96.35
400,0.5003309,4.2255021699999995,96.8
500,0.67259251,4.767296529999999,107.6
600,0.9298356,5.807886679999999,137.85
700,1.175472115,6.66643092,150.8
800,1.529157385,7.276233194999999,157.7
900,1.97300022,8.011123405,175.25
1000,2.3299126350000003,9.264561225,186.85
1100,2.43513504,9.595652455000002,194.6
1200,2.8849671850000003,11.03195099,227.35
1300,3.26057752,12.056058555,236.95
1400,3.8521134850000003,13.27411049,247.15
1500,4.2654979399999995,14.28321252,281.65
1600,4.413855084999999,14.871230904999997,271.45
1700,4.439105255,14.926361944999998,271.75
1800,5.659526325,17.879550525000003,323.05
1900,6.24199324,18.09877724,322.35
2000,6.05617784,18.34066042,319.85
2100,6.66396394,18.898092095000003,364.9
2200,8.044895625,21.226413555,364.0
2300,8.821393594999998,22.461917024999998,387.7
2400,9.457488710000002,25.440448779999997,418.3
2500,11.496918615,28.18136877,479.5
2600,12.08904799,29.846769899999998,484.3
2700,11.685353300000001,31.08181617,485.05
2800,11.97946595,28.813275835000002,464.05
2900,13.31865989,31.131745525000007,495.2
3000,14.744200435000002,33.295709905,523.85
3100,14.739171944999999,33.9811825,544.6
3200,17.236219809999998,37.083097175,553.65
3300,17.560919130000002,38.552274534999995,591.7
3400,18.779086569999997,40.59178619,608.35
3500,20.92432105,42.790806005,617.85
3600,22.289632985,42.18238154,635.7
3700,24.187574005,47.371344025,686.85
3800,25.221119415,52.330834955,775.05
3900,27.22721332,50.091046235,725.75
4000,26.84722571,51.11060639,712.45
4100,30.72848225,57.284436015,802.85
4200,30.132955559999996,57.444143085,813.55
4300,32.64726245,60.727553515000004,838.95
4400,33.261212685000004,59.459217755,817.05
4500,34.52284047,62.01810788000001,854.4
4600,36.97086043500001,64.547808315,896.1
4700,40.09677895,71.22825975,955.7
4800,38.995535114999996,67.18122661500001,926.55
4900,39.386781235,69.16560241999998,919.0
5000,44.772966655000005,76.67657295000001,1044.95
