Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.052747535,1.30856882,54.2
200,0.16768701,1.2661607200000002,52.15
300,0.311655625,1.1291646800000001,58.05
400,0.47029115499999996,1.9553834399999999,71.0
500,0.7516055150000001,1.7132259099999996,93.45
600,0.953149765,1.7698648250000004,85.95
700,1.19741324,1.9697184049999998,103.2
800,1.35153681,2.1227880700000004,102.05
900,1.85904398,2.5547180699999994,184.8
1000,1.958848075,2.80692622,124.65
1100,2.390372255,3.4968643599999996,149.1
1200,2.626336625,3.8575959500000003,152.95
1300,3.0559583949999998,4.357354185,165.55
1400,3.24556406,4.0759211650000005,168.6
1500,3.8775048049999996,4.839996195,235.8
1600,4.070777145,5.122019470000001,196.5
1700,4.44796416,5.800081585,232.75
1800,5.001928005000001,6.02615259,222.75
1900,5.08947433,6.495223145000001,228.35
2000,6.410648985,7.692755095000001,251.0
2100,7.18274888,9.070044065000001,311.25
2200,7.25263353,9.079743505,277.45
2300,7.812363790000001,9.542683550000001,281.65
2400,8.7898286,10.575505609999999,306.8666666666667
2500,9.835931685,11.71994834,312.05
2600,10.43170055,12.332557575,328.75
2700,10.800083279999999,12.95510693,343.65
2800,11.829661929999999,14.20865375,353.85
2900,12.835725974999999,14.865616880000001,360.7
3000,12.928713025151517,15.311597743181816,431.2666666666667
3100,14.538283830000003,16.771202529999997,388.4
3200,15.545757785000003,18.181663935,394.8
3300,16.057470640000002,18.76855305,414.4
3400,17.331139735,20.360089965,437.05
3500,19.068161014999998,22.083604025,458.25
3600,19.78488277,23.307534620000002,550.65
3700,21.48704911,24.68711896,495.4
3800,23.394753715,26.647462,498.65
3900,23.75603869,27.242890850000002,514.15
4000,24.284064280000003,27.641194525,559.8
4100,26.800286299999996,30.179142764999998,561.5
4200,27.472272425,30.894895645000002,574.85
4300,29.440252105,33.058163934999996,593.6
4400,31.579962459999997,35.55484444,608.95
4500,33.044900425,37.081140265,642.15
4600,34.367696147121215,38.34347589909092,649.4166666666667
4700,38.45618211,42.48946734,678.65
4800,40.323825140000004,44.61885595999999,702.8
4900,40.0970147,44.29214519500001,715.6
5000,43.615401575,48.31890705,746.7
