Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.059100935,0.13787183,2134.8
200,0.07092089,0.14669864,2133.75
300,0.132161575,2.33722684,159.4
400,0.23449834999999994,2.08142894,163.8
500,0.34797018,2.33345746,171.25
600,0.4360634149999999,2.699940995,199.7
700,0.58835844,2.915849,191.85
800,0.766505155,2.922802355,196.3
900,1.009530335,4.2125483,231.9
1000,1.2394653050000002,4.069644705,232.35
1100,1.6121290799999999,4.95283112,247.85
1200,1.817862895,4.753837345000001,282.45
1300,2.1621984700000003,5.570193125,298.15
1400,2.484140415,6.027410150000001,295.05
1500,2.742883325,6.20402653,313.85
1600,3.303200595,7.7630375449999995,390.05
1700,3.6295054899999997,7.546731745,329.65
1800,3.9875311400000006,8.119112745,365.0
1900,4.82628199,8.635711385,380.5
2000,5.219186560000001,9.042667115,385.1
2100,5.67072383,9.944020400000001,418.15
2200,6.421127930000001,9.99909696,418.9
2300,7.482321539999999,10.558544894999999,429.8
2400,7.443408505,11.496698829999998,474.95
2500,9.29865582,12.16900257,492.7
2600,8.764470880000001,12.079780024999998,491.3
2700,10.654502569999998,13.388709804999998,540.9
2800,11.400115584999998,13.42460738,544.05
2900,12.521263430000001,14.261783035,573.8
3000,13.781559919999998,15.46108265,620.7
3100,13.492419669999999,14.947788179999998,601.9
3200,13.896115949999999,15.371908265,616.75
3300,15.894656669999998,16.767147684999998,672.35
3400,17.312659985,18.078648645,722.1
3500,17.64910382,18.594308925,740.4
3600,17.580263325,18.735979075,748.15
3700,17.825689795,18.900652105,748.35
3800,17.613339399999997,18.998043805,755.5
3900,19.088201344999998,20.914894305,825.0
4000,20.801881310000002,24.065963535,1019.1
4100,20.835148259999997,21.929268730000004,862.2
4200,21.748916585,22.736954905,897.5
4300,22.406649619999996,23.518794305,930.05
4400,23.725731059999994,24.764114175,976.55
4500,24.811674335,25.73134378,1015.4
4600,25.631733845000003,26.75570793,1055.05
4700,26.698021675,27.85876902,1096.75
4800,28.298077414999998,29.518755110000004,1163.05
4900,28.81747502,29.94555701,1179.8
5000,29.969637915000003,31.222900869999997,1228.85
