Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.052832519999999994,0.24547292499999998,31.75
200,0.157639555,0.33051863,37.7
300,0.2886606850000001,0.601347605,54.25
400,0.478941575,0.8140027299999999,60.2
500,0.701057085,1.03313159,68.65
600,0.982923175,1.3235871099999998,83.7
700,1.103521525,1.4565170750000003,93.6
800,1.49028602,1.92235069,97.95
900,1.76558214,2.2812841350000004,122.55
1000,2.1285144249999997,2.684727075,124.9
1100,2.29344735,2.871312315,128.9
1200,2.656511085,3.330635435,156.2
1300,2.904832825,3.4915967649999997,160.5
1400,3.14546963,4.011451625,171.1
1500,3.6505980750000004,4.5990657399999995,186.55
1600,4.130354515,4.93354145,196.35
1700,4.579589984999999,5.517190584999999,204.3
1800,5.07108924,6.109385724999999,225.75
1900,5.4909667550000005,6.96684724,263.75
2000,5.840226565,7.007519895000001,253.2
2100,6.653375970000001,7.996058625,261.55
2200,7.4102890299999995,9.05872148,273.75
2300,8.3852981,10.145311144999999,282.5
2400,9.00434426,10.60875803,302.15
2500,9.460836220000001,11.08357416,315.5
2600,10.54693195,12.572060480000001,320.55
2700,10.937956615000001,12.81580915,340.75
2800,11.68104813,13.907805925,345.55
2900,12.685705535,15.031383844999999,354.35
3000,13.450904929999998,15.957366644999999,377.55
3100,14.081788635,16.303740845000004,381.4
3200,15.343114835,17.716345084999997,400.7
3300,16.34059108,19.138265445000002,417.5
3400,17.401037260000003,20.263386425,428.85
3500,18.528806394999997,21.374021655,440.75
3600,21.021581185000002,23.965849894999998,468.15
3700,21.00975651,23.969847065,479.5
3800,23.57414825,26.686946045,494.05
3900,23.468778320000002,26.713914065000004,559.55
4000,25.697611571666666,29.22810530388889,534.7833333333333
4100,29.379553525,33.126539245000004,630.8
4200,29.238148085000002,32.50858215499999,571.3
4300,30.217491145000004,33.451418149999995,579.8
4400,32.99606345,36.578531665,612.4
4500,33.773273615,37.57324744500001,635.75
4600,35.65617395500001,39.830343369999994,663.1
4700,38.034836989999995,41.68162073500001,692.05
4800,39.329127035000006,43.387728145,702.8
4900,39.554774495000004,43.880475385000004,712.15
5000,43.82995738500001,48.000670119999995,726.05
