Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.73770523,2.59934302,1112.0
3,0.7318047266666667,3.1888428466666667,1281.0
5,0.758303172,3.896203876,1427.4
7,0.7626506585714287,5.5269834242857145,1701.5714285714287
9,0.7531531977777778,7.473856494444445,2104.5
11,0.7533430872727273,10.290779532727273,2670.8
13,0.7571371038461538,12.147507003846153,3048.230769230769
15,0.7393939566666666,14.783557647333334,3564.0
17,0.7543870411764706,16.55082654352941,3910.0
19,0.75093825,18.97182199526316,4391.1578947368425
21,0.7524105666666666,20.91060943,4780.952380952381
23,0.7493332834782609,23.437478685652174,5294.782608695652
25,0.7565285156,25.3475057608,5665.08
27,0.7547092011111111,27.68604478037037,6121.0
29,0.7494866862068965,29.84454010448276,6565.620689655172
