Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.7196153399999999,2.60953794,1331.0
3,0.7281710966666667,3.722500096666667,1602.3333333333333
5,0.724564676,3.6798537799999997,2136.0
7,0.7330348585714286,3.637154757142857,2821.1428571428573
9,0.7091551288888889,3.7249499366666665,3702.8888888888887
11,0.6975918663636363,3.715832796363636,4394.363636363636
13,0.6935612169230769,4.0860989192307695,5568.153846153846
15,0.657147248,3.83343079,5998.066666666667
17,0.6055677405882354,4.1418912400000005,7266.058823529412
19,0.4414844494736842,4.217304143157895,8234.105263157895
21,0.36377712190476186,3.8580402276190475,8438.952380952382
23,0.3743716491304348,3.815356944347826,9248.130434782608
25,0.4128937132,3.7563739532,9919.04
27,0.40860664074074077,3.738855775555556,10773.518518518518
29,0.3929081044827586,3.6952267089655173,11502.137931034482
