Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.6857357,1.7374848,1125.0
3,0.6073898766666667,1.24917273,1030.0
5,0.5866995479999999,1.1266483219999999,1094.0
7,0.6416334414285715,1.228972877142857,1201.4285714285713
9,0.5730920588888889,1.325745917777778,1494.888888888889
11,0.7040787018181818,1.4299242718181817,1738.8181818181818
13,0.587898083076923,1.4184704984615384,2047.076923076923
15,0.6346236846666666,1.478005162,2325.3333333333335
17,0.6142278082352941,1.8068344529411764,2720.529411764706
19,0.6513090952631578,1.4561650494736842,2950.684210526316
21,0.5818922514285714,1.2838182233333333,3281.5238095238096
23,0.596044307826087,1.2548818513043478,3569.913043478261
25,0.5973095803999999,1.2819613152,3871.56
27,0.5889208355555555,1.2829735292592594,4172.148148148148
29,0.7334128420689655,1.6059356272413794,5204.3448275862065
