Array to sort length,Request proc. time,Receive-send gap,Client lifespan
100,0.041327085,0.11652738999999998,2584.15
200,0.12591242,0.20344974,2489.0
300,0.27528811999999997,3.2282842250000003,91.6
400,0.4426879349999999,3.9025239700000003,100.35
500,0.701262405,4.457087680000001,105.0
600,1.03414529,5.8428522649999985,141.7
700,1.37355652,6.390518805,148.95
800,1.44735336,6.541743965,151.25
900,2.1339311100000002,7.952020834999999,178.2
1000,2.102690025,8.133264805,178.7
1100,2.6125551049999993,9.38579954,197.75
1200,3.009982955,10.949574385,228.8
1300,3.22745648,11.250576240000001,228.65
1400,3.4457994000000007,12.24683022,248.75
1500,4.085529104999999,13.470334175000001,261.05
1600,4.00050266,13.613592259999999,262.7
1700,4.809308415,14.52801179,272.75
1800,4.952694785,16.57771364,308.8
1900,6.022930114999999,17.370795415,312.7
2000,6.165989255,17.520191945,317.6
2100,6.17517704,19.29433147,346.0
2200,6.320295685,19.996225850000002,352.7
2300,7.5617130900000005,20.929189190000002,376.75
2400,8.47569157,22.8092793,398.25
2500,8.718790550000001,23.515446705,430.75
2600,9.279864934999999,24.020764435000004,415.9
2700,10.292895195,26.799336725,457.25
2800,11.63066808,28.20968424,466.6
2900,12.213962674999998,28.888264355,456.6
3000,12.291010835,30.5824429,489.05
3100,14.660707469999998,35.628683085,628.1
3200,14.705136635,31.940573745000005,520.55
3300,15.819971204999998,36.74188456500001,567.15
3400,16.557333225,37.28465414,566.1
3500,18.050333175000002,37.420320485,581.85
3600,17.36626089,37.67381022,597.85
3700,21.69141478,43.084984424999995,649.95
3800,20.943809669999997,43.00382525,631.4
3900,22.003359065,44.161335769999994,646.1
4000,22.487869729999996,43.071996784999996,650.1
4100,26.592764004999996,48.448223094999996,703.05
4200,26.888706810000002,50.620517025,740.4
4300,29.623072864999997,54.68872295000001,767.1
4400,31.856970060000002,57.44361375999999,799.95
4500,31.152396985000003,54.213655089999996,829.45
4600,30.16308351,54.93589134500001,802.5
4700,34.65826133499999,62.75852065499999,876.8
4800,37.7809767,66.539600995,915.75
4900,41.235384780000004,69.42423133499999,968.5
5000,41.475864380000004,71.485265555,1024.35
