Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.6876636899999999,3.64938388,137.3
20,0.6852664925,3.6888551100000004,274.4
30,0.6788090250000001,3.3737589549999996,394.1
40,0.6798987162499999,3.3186767925,524.95
50,0.688104771,3.3177084370000003,653.95
60,0.6805376258333332,3.2649962616666666,777.85
70,0.68457322,3.332739617142857,915.75
80,0.683139174375,3.3375520581250004,1044.15
90,0.6808407827777778,3.4178085327777774,1244.8
100,0.6854557594999999,3.475094535,1345.25
110,0.6669617916887554,3.3101685150579834,1437.9
120,0.6821073978253306,3.35176597802453,1573.75
130,0.6844739091685194,3.4031659113272563,1726.75
140,0.6862337046428572,3.4220434664285717,1854.15
150,0.6864882613333333,3.3967581646666667,1983.4
