Response-request gap (ms),Request proc. time,Receive-send gap,Client lifespan
0,2.47553981,9.0397918925,1817.25
10,2.581487245,5.8980555475,2259.25
20,2.314997045,4.9897183625,3063.5
30,2.6654822774999998,5.193893947499999,4028.25
40,2.6792237225,5.1038710225,5039.75
50,2.7019724625,4.9612473725,5983.5
60,2.748664955,5.018270375,7007.25
70,1.7042527894736843,3.9392655513784463,7905.75
80,1.3984481975,3.4468307774999998,8850.0
90,1.9506116100000002,4.4085674875,9955.25
100,1.8384911825,4.1874144300000005,10950.25
