Response-request gap (ms),Request proc. time,Receive-send gap,Client lifespan
0,1.45328174,9.369859775,1729.5
10,1.3466887175,6.4295353324999995,2150.75
20,1.3104230774999999,4.9879170425,2911.5
30,1.2719904325000002,5.04928613,3929.5
40,1.3589279925,5.5123360275,4967.75
50,1.276880245,5.201649257500001,5966.0
60,1.32638049,5.1167864524999995,6943.5
70,1.2441658475,4.989622052500001,7920.25
80,1.2442949825,4.9482910575000005,8912.25
90,1.380379925,4.799166405,9915.75
100,1.2424279125000002,4.4000430375,10842.5
