Response-request gap (ms),Request proc. time,Receive-send gap,Client lifespan
0,1.7240802625,2.3112925924999996,1289.75
10,2.2435564825,2.9523472400000004,2020.75
20,2.6449743125,3.23254517,2984.75
30,2.7346668100000002,3.3368588975,3967.0
40,2.949840071225071,3.659458814814815,4969.333333333333
50,2.86506719,3.4303793575,5936.5
60,2.97270042,3.5730824325,6970.0
70,2.9813323075000002,3.5872465375,7980.75
80,2.9938429593495934,3.6292964823848237,9029.333333333334
90,2.7796974725,3.441897655,9994.25
100,3.046522895,3.687093145,11015.25
