Response-request gap (ms),Request proc. time,Receive-send gap,Client lifespan
0,1.5759139174999999,1.8361797975,1256.75
10,2.4826527275,3.0520342225,2037.75
20,2.5990846949999997,2.899776955,2909.25
30,2.81004038,3.1073457999999996,3961.0
40,2.80985193,3.109288185,4921.0
50,2.844514325,3.1459556625,5919.5
60,2.9538630550000002,3.2341435825000002,7856.0
70,2.8117887374999997,3.1247499700000003,7885.0
80,2.9348788675,3.2224239674999997,8954.75
90,2.951284635,3.283531505,9998.0
100,2.8229742200000003,3.1201946025000002,10920.0
